,game_fr,game_en,platform,website_rating,public_rating,publishor/developer,release,type,classification,url,description
19,007 : Nightfire,007: Nightfire,Xbox,13/20,16.7/20,JV Games Gearbox Software Electronic Arts,28 Novembre 2002,Action FPS,+12 ans,http://www.jeuxvideo.com/jeux/jeu-74392/," Comme par hasard, James Bond est de retour sur consoles pile poil au moment où sortent ses nouvelles aventures sur grand écran. Ce qui m'amène à me poser cette question : « Electronic Arts n'a-il pas un peu bâclé son titre pour le sortir à temps ? »"
20,007 : Nightfire,007: Nightfire,NGC,13/20,--/20,JV Games Gearbox Software Electronic Arts,28 Novembre 2002,Action FPS,+12 ans,http://www.jeuxvideo.com/jeux/jeu-74392/," Comme par hasard, James Bond est de retour sur consoles pile poil au moment où sortent ses nouvelles aventures sur grand écran. Ce qui m'amène à me poser cette question : « Electronic Arts n'a-il pas un peu bâclé son titre pour le sortir à temps ? »"
21,007 : Nightfire,007: Nightfire,PS2,13/20,--/20,JV Games Gearbox Software Electronic Arts,28 Novembre 2002,Action FPS,+12 ans,http://www.jeuxvideo.com/jeux/jeu-74392/," Comme par hasard, James Bond est de retour sur consoles pile poil au moment où sortent ses nouvelles aventures sur grand écran. Ce qui m'amène à me poser cette question : « Electronic Arts n'a-il pas un peu bâclé son titre pour le sortir à temps ? »"
22,007 : Quantum of Solace,007: Quantum of Solace,DS,8/20,14.4/20,Vicarious Visions Eurocom Activision Treyarch Beenox Studios,31 Octobre 2008,Action FPS Jeu de cartes,+16 ans,http://www.jeuxvideo.com/jeux/jeu-69727/," Bien que nous ayons attendu plusieurs mois, voire années, le retour de James Bond, on peut dire que nous sommes gâtés. Après les versions PS3, Xbox 360, Wii, PS2 et PC, voici enfin la petite dernière (tiens, et la PSP alors ?) développé par Vicarious Visions. Cette fois, pas question de TPS ni de FPS mais plutôt d'une sorte de mix entre un jeu d'action en vue aérienne saupoudré d'un zest de stratégie."
23,007 : Quantum of Solace,007: Quantum of Solace,Wii,11/20,14.4/20,Vicarious Visions Eurocom Activision Treyarch Beenox Studios,31 Octobre 2008,Action FPS Jeu de cartes,+16 ans,http://www.jeuxvideo.com/jeux/jeu-69727/," L'exercice consistant à adapter un film en jeu vidéo est un exercice périlleux. Je le sais, vous le savez, les éditeurs le savent. C'est encore plus vrai lorsqu'il s'agit d'un mythe, ce qu'est assurément James Bond. Pour autant, lorsqu'on prend un peu de recul, on se dit qu'Electronic Arts s'en était très bien sorti lorsque la franchise leur appartenait encore, seul GoldenEye : Au Service du Mal s'étant révélé des plus médiocres. Désormais, c'est sur Activision qu'il faudra compter pour endosser le smoking tiré à quatre épingles et aligner les Martini. Et ça tombe bien car votre prochaine mission va bientôt débuter..."
24,007 : Quantum of Solace,007: Quantum of Solace,PS2,11/20,--/20,Vicarious Visions Eurocom Activision Treyarch Beenox Studios,31 Octobre 2008,Action FPS Jeu de cartes,+16 ans,http://www.jeuxvideo.com/jeux/jeu-69727/," Même si James Bond n'a pas entièrement réussi sa mission sur New Gen et PC, la reine l'a malgré tout mandaté afin qu'il élimine toute présence hostile sur PS2. Du coup, si les moyens restent les mêmes, l'orientation, elle, diffère quelque peu. Ainsi, de FPS nous passons ici à un jeu de tir à la troisième personne (TPS) orchestré par Eurocom. Marchant dans les pas de l'honorable Bons Baisers de Russie, 007 Quantum of Solace fait un Bond dans le passé afin d'offrir des sensations similaires à celles que nous avions ressenties avec l'excellent Quitte ou Double."
25,007 : Quantum of Solace,007: Quantum of Solace,PC,12/20,--/20,Vicarious Visions Eurocom Activision Treyarch Beenox Studios,31 Octobre 2008,Action FPS Jeu de cartes,+16 ans,http://www.jeuxvideo.com/jeux/jeu-69727/," L'exercice consistant à adapter un film en jeu vidéo est un exercice périlleux. Je le sais, vous le savez, les éditeurs le savent. C'est encore plus vrai lorsqu'il s'agit d'un mythe, ce qu'est assurément James Bond. Pour autant, lorsqu'on prend un peu de recul, on se dit qu'Electronic Arts s'en était très bien sorti lorsque la franchise leur appartenait encore, seul GoldenEye : Au Service du Mal s'étant révélé des plus médiocres. Désormais, c'est sur Activision qu'il faudra compter pour endosser le smoking tiré à quatre épingles et aligner les Martini. Et ça tombe bien car votre prochaine mission va bientôt débuter..."
26,007 : Quantum of Solace,007: Quantum of Solace,360,12/20,--/20,Vicarious Visions Eurocom Activision Treyarch Beenox Studios,31 Octobre 2008,Action FPS Jeu de cartes,+16 ans,http://www.jeuxvideo.com/jeux/jeu-69727/," L'exercice consistant à adapter un film en jeu vidéo est un exercice périlleux. Je le sais, vous le savez, les éditeurs le savent. C'est encore plus vrai lorsqu'il s'agit d'un mythe, ce qu'est assurément James Bond. Pour autant, lorsqu'on prend un peu de recul, on se dit qu'Electronic Arts s'en était très bien sorti lorsque la franchise leur appartenait encore, seul GoldenEye : Au Service du Mal s'étant révélé des plus médiocres. Désormais, c'est sur Activision qu'il faudra compter pour endosser le smoking tiré à quatre épingles et aligner les Martini. Et ça tombe bien car votre prochaine mission va bientôt débuter..."
27,007 : Quantum of Solace,007: Quantum of Solace,PS3,12/20,--/20,Vicarious Visions Eurocom Activision Treyarch Beenox Studios,31 Octobre 2008,Action FPS Jeu de cartes,+16 ans,http://www.jeuxvideo.com/jeux/jeu-69727/," L'exercice consistant à adapter un film en jeu vidéo est un exercice périlleux. Je le sais, vous le savez, les éditeurs le savent. C'est encore plus vrai lorsqu'il s'agit d'un mythe, ce qu'est assurément James Bond. Pour autant, lorsqu'on prend un peu de recul, on se dit qu'Electronic Arts s'en était très bien sorti lorsque la franchise leur appartenait encore, seul GoldenEye : Au Service du Mal s'étant révélé des plus médiocres. Désormais, c'est sur Activision qu'il faudra compter pour endosser le smoking tiré à quatre épingles et aligner les Martini. Et ça tombe bien car votre prochaine mission va bientôt débuter..."
28,007 : Quitte ou Double,007: Everything or Nothing,Xbox,15/20,17.3/20,Electronic Arts Griptonite Games,05 Décembre 2003,Action,+12 ans,http://www.jeuxvideo.com/jeux/jeu-74394/," Gadgets, armes, course poursuites et James Bond Girls, telle est la recette indémodable de James Bond, aussi bien au cinéma que dans nos chers loisirs. Une fois de plus l'agent 007 nous revient mais bien décidé à faire oublier le peu reluisant Nightfire. Objectif pour ce Quitte Ou Double qui prend les traits d'un jeu d'action de fort bonne facture, qui plus est très fidèle à sa licence."
29,007 : Quitte ou Double,007: Everything or Nothing,NGC,15/20,--/20,Electronic Arts Griptonite Games,05 Décembre 2003,Action,+12 ans,http://www.jeuxvideo.com/jeux/jeu-74394/," Gadgets, armes, course poursuites et James Bond Girls, telle est la recette indémodable de James Bond, aussi bien au cinéma que dans nos chers loisirs. Une fois de plus l'agent 007 nous revient mais bien décidé à faire oublier le peu reluisant Nightfire. Objectif pour ce Quitte Ou Double qui prend les traits d'un jeu d'action de fort bonne facture, qui plus est très fidèle à sa licence."
30,007 : Quitte ou Double,007: Everything or Nothing,PS2,15/20,--/20,Electronic Arts Griptonite Games,05 Décembre 2003,Action,+12 ans,http://www.jeuxvideo.com/jeux/jeu-74394/," Gadgets, armes, course poursuites et James Bond Girls, telle est la recette indémodable de James Bond, aussi bien au cinéma que dans nos chers loisirs. Une fois de plus l'agent 007 nous revient mais bien décidé à faire oublier le peu reluisant Nightfire. Objectif pour ce Quitte Ou Double qui prend les traits d'un jeu d'action de fort bonne facture, qui plus est très fidèle à sa licence."
31,007 : Quitte ou Double,007: Everything or Nothing,GBA,14/20,17.3/20,Electronic Arts Griptonite Games,05 Décembre 2003,Action,+12 ans,http://www.jeuxvideo.com/jeux/jeu-74394/," Et hop, une nouvelle incursion GBA de l'agent secret qui boit son banania au shaker, pas à la cuillère. Aujourd'hui, le héros aux multiples gadgets cède un peu aux charmes de l'infiltration même si l'action sera toujours au rendez-vous."
32,007 Legends,007: Legends,WiiU,7/20,12.4/20,Activision Eurocom,19 Octobre 2012,FPS,+16 ans,http://www.jeuxvideo.com/jeux/jeu-78733/," Si James Bond reste une icône intemporelle ayant brillamment réussi son reboot cinématographique grâce à un Daniel Craig inspiré, on ne peut pas dire que 007 ait eu le même succès sur nos machines. Si l'on excepte un fabuleux GoldenEye et certains épisodes sympathiques d'Electronic Arts, les dernières itérations de l'agent secret britannique n'ont pas vraiment déchaîné les foules, à commencer par 007 Legends. C'est donc avec une certaine appréhension que l'on accueille ce portage Wii U, mais qui sait, peut-être que celui-ci s'est bonifié durant ces quelques mois."
33,007 Legends,007: Legends,360,7/20,12.4/20,Activision Eurocom,19 Octobre 2012,FPS,+16 ans,http://www.jeuxvideo.com/jeux/jeu-78733/," Si James Bond reste une icône intemporelle ayant brillamment réussi son reboot cinématographique grâce à un Daniel Craig inspiré, on ne peut pas dire que 007 ait eu le même succès sur nos machines. Si on excepte un fabuleux GoldenEye et certains épisodes sympathiques d'Electronic Arts, les dernières itérations de l'agent secret britannique n'ont pas vraiment déchaîné les foules. Et bien rassurez-vous car 007 Legends n'est nullement de cet acabit. Non, cette fois, c'est tout un mythe que les développeurs d'Eurocom se sont évertués à démolir pixel par pixel."
34,007 Legends,007: Legends,PS3,7/20,--/20,Activision Eurocom,19 Octobre 2012,FPS,+16 ans,http://www.jeuxvideo.com/jeux/jeu-78733/," Si James Bond reste une icône intemporelle ayant brillamment réussi son reboot cinématographique grâce à un Daniel Craig inspiré, on ne peut pas dire que 007 ait eu le même succès sur nos machines. Si on excepte un fabuleux GoldenEye et certains épisodes sympathiques d'Electronic Arts, les dernières itérations de l'agent secret britannique n'ont pas vraiment déchaîné les foules. Et bien rassurez-vous car 007 Legends n'est nullement de cet acabit. Non, cette fois, c'est tout un mythe que les développeurs d'Eurocom se sont évertués à démolir pixel par pixel."
35,007 Racing,007: Racing,PS1,9/20,9.7/20,MGM Interactive Electronic Arts,15 Décembre 2000,Action Course,+3 ans,http://www.jeuxvideo.com/jeux/playstation-ps1/00004513-007-racing.htm,Electronic Arts profite de sa licence avec l'agent secret cirrhotique de Ian Fleming pour nous offrir sa version motorisée. Jolies voitures bourrées de gadgets et jolies filles pour un jeu mauvais loin d'être joli.
36,1 Contre 100,1 vs. 100,360,16/20,16.8/20,Gimagin Microsoft Game Studios Microsoft Mindscape,30 Avril 2008,Réflexion Party-Game,+3 ans,http://www.jeuxvideo.com/jeux/jeu-66755/," Il est 20 heures. Le public, qui jusque-là attendait fébrilement dans le hall, est enfin invité à pénétrer sur le plateau de 1 Contre 100. Pendant que les organisateurs procèdent à la sélection d'un mur et d'un candidat, le présentateur cultive l'hystérie ambiante en annonçant les lots de la soirée : des MS Points, bien sûr, mais aussi un appareil photo numérique pour qui saura faire chuter le mur le premier. De quoi motiver les milliers de joueurs présents, prêts à faire valoir leur culture générale."
37,1 Contre 100,1 vs. 100,DS,9/20,16.8/20,Gimagin Microsoft Game Studios Microsoft Mindscape,30 Avril 2008,Réflexion Party-Game,+3 ans,http://www.jeuxvideo.com/jeux/jeu-66755/," Tous les soirs vous vous égosillez devant votre télé en criant ""Le mur ! Le mur ! Le mur !"" ? Mindscape a pensé à vous en adaptant votre jeu télévisé préféré 1 contre 100 sur Nintendo DS. Vous y retrouverez l'inimitable Benjamin Castaldi qui vous posera toute une série de questions de culture générale. A vous de répondre mieux que les 100 candidats qui composent le ""mur"" pour espérer empocher le pactole."
38,1 Contre 100,1 vs. 100,PC,4/20,--/20,Gimagin Microsoft Game Studios Microsoft Mindscape,30 Avril 2008,Réflexion Party-Game,+3 ans,None," Tous les soirs vous vous égosillez devant votre télé en criant ""Le mur ! Le mur ! Le mur !"" ? Mindscape a pensé à vous en adaptant votre jeu télévisé préféré 1 contre 100 sur PC. Vous y retrouverez l'inimitable Benjamin Castaldi qui vous posera toute une série de questions de culture générale. A vous de répondre mieux que les 100 candidats qui composent le ""mur"" pour espérer empocher le pactole."
39,1-2 Switch,1-2-Switch,Switch,13/20,9.1/20,Nintendo,03 Mars 2017,Party-Game,+3 ans,http://www.jeuxvideo.com/jeux/switch/jeu-593654/,"C’est presque devenu une tradition pour Nintendo depuis l’ère de la Wii. À chaque lancement de console, la firme accouche d’un petit titre de lancement composé de divers mini-jeux mettant en avant les innovations de la console. Après Wii Sports et Nintendo Land, c’est au tour de 1, 2 Switch d’assurer ce rôle pour la Switch. Mais contrairement à ses semblables, celui-ci mise autant sur des activités loufoques que sur des sports plus traditionnels, un mélange grand public que nous allons disséquer dans ce test."
40,10.000 Bullets,10.000 Bullets,PS2,9/20,14.6/20,505 Games Taito,29 Septembre 2005,Action,+16 ans,http://www.jeuxvideo.com/jeux/jeu-62888/," Parfois, dans une sombre vie d'amateur de titres imports, on admire avec regrets le passage volatile de certains d'entre eux au gré de barrières culturelles qui n'existent pas vraiment. On en vient même à faire des paris, en se demandant si tel ou tel jeu va être assez ""bien"", comprendre occidentalisé, pour franchir terres et océans. Tsukiyoni Saraba était l'un de ceux que l'on classe dans la catégorie ""ça m'étonnerait bien"". Pourtant, et par je ne sais quel miracle du marketing, voilà que ce soft aux rares introductions stylisées diffusées sur internet, nous fait l'honneur de sa visite. Renommé 10.000 Bullets pour des raisons assez étrangères, ce concentré d'action et de ""bullet time"" déploie sa cape noire sur nos certitudes d'un revers fier et rageur."
41,100 Classic Games,100 Classic Games,DS,9/20,4.9/20,Rondomedia Cerasus Media,Avril 2011,Jeu de société,+12 ans,http://www.jeuxvideo.com/jeux/nintendo-ds/00041237-100-classic-games.htm," Des compilations, depuis la sortie de la DS en 2005, on en a vu défiler un paquet. Des mini-jeux débiles de type Wario-Ware aux remue-méninges les plus pointus, on a eu droit a tout. Avec 100 Classic Games, le modeste studio allemand cerasus.media choisit aujourd'hui de se rabattre sur des valeurs sûres en nous proposant des jeux traditionnels qui ont fait leurs preuves depuis longtemps."
42,100 Livres Classiques,100 Classic Games,DS,14/20,15.4/20,Nintendo,05 Mars 2010,Autres,+3 ans,http://www.jeuxvideo.com/jeux/nintendo-ds/00028331-100-livres-classiques.htm,Vous en avez assez de transporter des valises remplies de bouquins au moindre voyage ? Vous voudriez toujours avoir une bibliothèque avec vous pour tuer le temps dans les transports en commun ? Nintendo vous a visiblement écouté et se propose désormais de transformer sa console portable en véritable livre électronique. Le constructeur a ainsi rassemblé sur une petite cartouche DS une centaine d'ouvrages classiques tombés dans le domaine public.
43,100% Star,100% Star,PS1,5/20,7.1/20,Teque Software Eidos Interactive,07 Décembre 2001,Gestion Création,+3 ans,http://www.jeuxvideo.com/jeux/playstation-ps1/00008603-100-star.htm," Si vous rêvez de vous prendre pour Pascal Broussot, Santi, Mya Frie ou pour les producteurs de la Star Academy, j'ai le jeu qu'il vous faut : 100% Star, le premier simulateur de groupe de l'histoire du jeu vidéo ! Ca sent le coup commercial tout ça..."
44,1000 Bornes,1000 Bornes,DS,10/20,12/20,Mindscape Mad Monkey Studio,14 Novembre 2008,Jeu de société,+3 ans,http://www.jeuxvideo.com/jeux/nintendo-ds/00025401-1000-bornes.htm," Mindscape nous replonge dans l'ambiance feutrée des dimanches après-midi en famille. Vous pouvez préparer votre tasse de chocolat chaud et sortir vos biscuits à la cannelle, le jeu des 1000 Bornes n'attend plus que vous. Les courses les plus calmes de l'histoire de l'automobile font en effet leur retour sur DS. Vous retrouverez bien sûr les règles du jeu original, mais aussi un mode spécial qui vient ajouter quelques options peu convaincantes."
45,1000 Heroz,1000 Heroz,iOS,15/20,15.3/20,RedLynx,08 Juin 2011,Plate-Forme Course,+7 ans,http://www.jeuxvideo.com/jeux/iphone-ipod/00041406-1000-heroz.htm," Les Finlandais de RedLynx, responsables du sympathique Trials HD sur Xbox Live Arcade, se montrent aussi très actifs sur iOS. Il faut dire que la spécialité du studio, le jeu de scoring, est aussi celle de l'iPhone. Leur dernière production, 1000 Heroz, propose aux amateurs du genre de relever le défi d'une compétition mondiale programmée sur mille jours. Voilà un concept diablement audacieux que nous ne pouvions ignorer."
46,1001 Fun Games,Fun 'N Games,DS,10/20,11.8/20,Emme Micro Application,13 Octobre 2011,Party-Game Compilation,+3 ans,http://www.jeuxvideo.com/jeux/nintendo-ds/00042452-1001-fun-games.htm," Les compilations de mini-jeux sur DS sont légion. Ainsi après 100 Classic Games, 101 in 1 Games, on franchit un cap monumental avec 1001 Fun Games. Si le nombre faisait la qualité, le nouveau titre de Emme remporterait la partie haut la main, seulement ce n’est visiblement pas le cas."
47,101 in 1 Games,101-in-1 Games,DS,14/20,12.5/20,Nordcurrent Micro Application Atlus,28 Novembre 2008,Party-Game Compilation,+3 ans,http://www.jeuxvideo.com/jeux/jeu-72524/," Au petit jeu de la compilation bourrée de mini-jeux, 101 in Games 1 fait très fort puisque cette petite cartouche ne propose pas moins d'une centaine de mini-jeux qui vous demanderont entre 30 secondes et deux minutes de votre temps. Une bonne pioche vu que les sessions de jeu sur consoles portables sont généralement assez courtes surtout si vous utilisez votre machine pour patienter dans les transports en commun."
48,1080° Avalanche,1080° Avalanche,NGC,14/20,16.3/20,Nintendo,28 Novembre 2003,Sport,+3 ans,http://www.jeuxvideo.com/jeux/gamecube-ngc/00008518-1080-avalanche.htm," Sorti sur Nintendo 64, 1080° Snowboarding fut longtemps considéré comme la référence de snowboard multi-consoles. Mais à l'époque, il faut dire que le soft de Nintendo n'avait pas beaucoup de concurrence, Coolboarders, aussi sympathique fut-il, étant bien en deçà en terme de fun et de technicité. Si le second épisode de la série était donc attendu au tournant, nous dirons donc qu'il s'en sort somptueusement une fois de plus en terme de sensations, mais malheureusement, bien malheureusement, la joie sera de très, trop, courte durée."
49,1080° Snowboarding,1080° Snowboarding,Wii,17/20,16.8/20,Nintendo,30 Novembre 1998,Sport,+3 ans,http://www.jeuxvideo.com/jeux/jeu-57986/," Soyons honnêtes, la Nintendo 64 n'est pas restée dans les annales pour ses jeux de sport. Plus réputée pour ses grosses licences, la console a pourtant accouché en 1998 de 1080° Snowboarding, un excellent jeu de snowboard qui propose une expérience endiablée, et résolument technique, en haute altitude. Ayant la lourde tâche d'être l'un des précurseurs du jeu de snowboard sur consoles 3D, le titre propose plusieurs modes de jeu plus ou moins convaincants pour un résultat final plus que satisfaisant."
